id;idcompany;company_name;company_logo;company_logo_content_type
1;30933;evolve Fantastic;../fake-data/blob/hipster.png;image/png
2;62602;Borders Global payment;../fake-data/blob/hipster.png;image/png
3;54882;transparent Health;../fake-data/blob/hipster.png;image/png
4;73502;bypass withdrawal;../fake-data/blob/hipster.png;image/png
5;23864;Representative;../fake-data/blob/hipster.png;image/png
6;71679;teal Auto Loan Account Security;../fake-data/blob/hipster.png;image/png
7;66179;Metal Analyst content;../fake-data/blob/hipster.png;image/png
8;78341;Electronics drive Research;../fake-data/blob/hipster.png;image/png
9;7708;Corporate;../fake-data/blob/hipster.png;image/png
10;27160;Metal Steel;../fake-data/blob/hipster.png;image/png
