id;id_delivery;delivery_description;delivery_date;sub_total;vatamount;total
1;61666;Fantastic;2020-02-15;27501;45664;81334
2;77944;Serbia Investment Account;2020-02-15;48081;76262;74952
3;91547;Nigeria salmon;2020-02-16;28247;25101;2627
4;39629;Investor Multi-layered Salad;2020-02-16;18989;35680;61570
5;277;SCSI connecting;2020-02-15;48362;60684;62341
6;23216;Refined Principal Fantastic;2020-02-16;25932;40677;68752
7;56600;PNG;2020-02-16;6798;93061;37076
8;6174;Graphic Interface HDD;2020-02-15;27024;73574;39392
9;27471;Unbranded Rubber Towels panel French Polynesia;2020-02-16;77741;41644;26003
10;27891;Indian Rupee Ngultrum;2020-02-16;10697;42612;60003
