id;id_orders;orders_desc;totalht;totaltva;totalttc;orders_date;expected_delivery;tvamoyenne
1;25734;cyan Small copying;55782;72905;81672;2020-02-16;2020-02-16;15791
2;20297;blue Minnesota Communications;28976;12937;17921;2020-02-16;2020-02-16;71585
3;741;Soft;52751;38213;45744;2020-02-15;2020-02-16;51558
4;92770;orange;33213;74520;75757;2020-02-15;2020-02-16;35146
5;73189;mission-critical Cheese;63434;72165;86071;2020-02-16;2020-02-16;67586
6;21921;plum navigating SCSI;56075;92735;57226;2020-02-16;2020-02-16;78229
7;6581;copying;94232;8957;22611;2020-02-16;2020-02-16;64137
8;2436;Fantastic circuit Intuitive;34623;51649;89732;2020-02-16;2020-02-16;51304
9;60566;Borders;64746;45482;47784;2020-02-15;2020-02-16;79888
10;59659;Lane;60697;80177;55857;2020-02-16;2020-02-16;90962
