id;id_orders_products;unit_price;quantite;tva;total_ht;montant_tva;total_ttc
1;65193;20511;64575;28444;60750;45647;42282
2;79414;71486;94950;52478;75090;29141;87831
3;38225;90143;13420;52015;86611;41849;10645
4;13291;45456;31371;6472;43490;33345;5992
5;53873;39895;99129;42702;47602;89441;11773
6;44276;52760;57052;40785;16243;63015;60398
7;81051;32112;95568;1238;19578;52202;66739
8;29000;76556;54935;96854;36262;6392;8633
9;49874;20703;58122;44350;34956;44503;19322
10;91230;88439;94809;60155;11004;79233;49362
