id;id_provider;provider_name;provider_logo;provider_logo_content_type
1;97137;strategize reboot;../fake-data/blob/hipster.png;image/png
2;55324;interface parsing;../fake-data/blob/hipster.png;image/png
3;57216;Cotton Refined Tasty Wooden Table;../fake-data/blob/hipster.png;image/png
4;68793;Cambridgeshire Fantastic Metal Chair Practical Metal Tuna;../fake-data/blob/hipster.png;image/png
5;68262;Money Market Account morph CSS;../fake-data/blob/hipster.png;image/png
6;49627;Electronics Lead Devolved;../fake-data/blob/hipster.png;image/png
7;32483;Ergonomic;../fake-data/blob/hipster.png;image/png
8;50233;Auto Loan Account;../fake-data/blob/hipster.png;image/png
9;28651;Developer;../fake-data/blob/hipster.png;image/png
10;52550;value-added;../fake-data/blob/hipster.png;image/png
