id;id_reglement;date_effet_reglement;date_reglement;montant_reglement;commentaire
1;83289;2020-02-16;2020-02-16;97175;Indian Rupee communities Forward
2;10021;2020-02-15;2020-02-16;21229;Steel purple
3;40872;2020-02-15;2020-02-16;37868;Strategist schemas Cheese
4;19190;2020-02-15;2020-02-16;92887;Regional Accountability Research
5;24499;2020-02-16;2020-02-16;48449;calculating
6;28345;2020-02-15;2020-02-16;82431;wireless harness Tunnel
7;85681;2020-02-16;2020-02-16;14206;Drives Ergonomic Plastic Chips Business-focused
8;47176;2020-02-15;2020-02-16;21245;Mexico interface
9;30269;2020-02-16;2020-02-16;99742;Money Market Account Cambridgeshire
10;80760;2020-02-15;2020-02-16;57731;El Salvador Colon US Dollar
